radio_id	radio_name	rssi	lqi	crc	software_version	board_serial_number	time_stamp_ms	callsign	temperature	fcb_altitude	v_speed	fcb_latitude	fcb_longitude	gps_alt	fcb_battery_voltage	ground_speed	course_over_ground	gps_time	gps_sats	fcb_state_number	ble_client	timestamp	run_number	distance	rot_vel_x	rot_vel_y	rot_vel_z	accel_x	accel_y	accel_z	magnetic_field_x	magnetic_field_y	magnetic_field_z	roll	pitch	yaw	orientation_quaternion	orientation_rpy	barometer_pressure	barometer_2_pressure	press_ref	ground_elev	ground_temp	gs_lat	gs_lon	gs_alt	gs_baro	gs_temp	pyro_continuity	pyro_status	flash_usage	cli_string
0	433 MHz Radio	-31 db	3	Good	0	0	286613	KM6GNL												6		2022-10-15 11:01:28	1		0.005161795765161514	-0.03503301367163658	-0.025305012241005898	-0.9296115636825562	-0.21176479756832123	9.798608779907227	0.5222899913787842	0.5573800206184387	1.0242799520492554	-2.7980057294143537	-1.3485283492565872	0.03515370777021868	[0.12, -0.73, -0.11, -0.65]	[-2.7980057294143537, -1.3485283492565872, 0.03515370777021868]														
0	433 MHz Radio	-33 db	3	Good	0	0	286613	KM6GNL	28.06999969482422	0.5089355111122131	-0.2936055362224579	44.82460123697917	-73.16708170572916	44.29999923706055	12.6197509765625	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:28	1	3.96615400531352																												
0	433 MHz Radio	-35 db	2	Good	0	0	286809	KM6GNL												6		2022-10-15 11:01:28	1		0.002871058415621519	-0.0936758890748024	-0.06653828173875809	-0.7824530005455017	-0.10767702013254166	9.68375301361084	0.5231599807739258	0.5292500257492065	1.017899990081787	-3.0930051312050213	-1.3485283492565872	0.24982033851554908	[0.11, -0.73, -0.12, -0.65]	[-3.0930051312050213, -1.3485283492565872, 0.24982033851554908]														
0	433 MHz Radio	-33 db	2	Good	0	0	286809	KM6GNL	28.059999465942383	0.4486047029495239	-0.3264977037906647	44.82460123697917	-73.16708170572916	44.20000076293945	12.6197509765625	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:28	1	3.96615400531352																												
0	433 MHz Radio	-36 db	3	Good	0	0	287005	KM6GNL												6		2022-10-15 11:01:28	1		-0.04906759411096573	0.011071896180510521	0.0019547620322555304	-0.45942193269729614	2.0817556381225586	9.719645500183105	0.5121399760246277	0.4906800091266632	0.9981799721717834	-3.1259257327784913	-1.2590520020177058	0.01330124993982124	[0.01, -0.78, -0.01, -0.61]	[-3.1259257327784913, -1.2590520020177058, 0.01330124993982124]														
0	433 MHz Radio	-35 db	2	Good	0	0	287005	KM6GNL	28.059999465942383	0.4704767167568207	-0.2802012264728546	44.82460123697917	-73.16708170572916	44.099998474121094	12.6197509765625	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:28	1	3.96615400531352																												
0	433 MHz Radio	-36 db	3	Good	0	0	287201	KM6GNL												6		2022-10-15 11:01:28	1		0.011560588143765926	-0.020692994818091393	-0.004764734301716089	-0.98703932762146	-0.11126624792814255	9.719645500183105	0.531279981136322	0.47095999121665955	0.976140022277832	-3.1259257327784913	-1.2590520020177058	0.01330124993982124	[0.01, -0.78, -0.01, -0.61]	[-3.1259257327784913, -1.2590520020177058, 0.01330124993982124]														
0	433 MHz Radio	-36 db	3	Good	0	0	287201	KM6GNL	28.06999969482422	0.6233908534049988	-0.10672423243522644	44.82460123697917	-73.16708170572916	44.099998474121094	12.6033935546875	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:28	1	3.96615400531352																												
0	433 MHz Radio	-36 db	2	Good	0	0	287246	KM6GNL														2022-10-15 11:01:28	1																										[False, False, False, False, True, False]	[False, False, False, False, False, False, False, False]	2	
0	433 MHz Radio	-36 db	2	Good	0	0	287412	KM6GNL												6		2022-10-15 11:01:28	1		-0.02035701833665371	0.0025198101066052914	-0.037140488624572754	-0.9475577473640442	-0.2225324958562851	9.57607650756836	0.5405600070953369	0.48778000473976135	0.9691799879074097	-3.127100914524293	-1.301656593920344	0.01408357582286019	[0.01, -0.79, -0.01, -0.61]	[-3.127100914524293, -1.301656593920344, 0.01408357582286019]														
