,packetType,timestamp_s,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,gps_fix_quality,gps_sats_tracked,gps_hdop,battery_voltage,pyro_cont,pyro_status,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
65454,0,6665949,463,-1439,638,1370,-15892,832,-854,2234,2066,499,-1436,682,1423,-15444,584,1088,1389,2477,416,-96,416,19.06,1.0033654083395,24.74,1.00244756970146,4449.51171875,-7309.767578125,55.7000007629395,2,12,0.589999973773956,7.900634765625,0,3,0,0,0,0,12.0418530140605,0,0,-5.74472765949432,4.737788748,-3.4528430118,10.3190474625,0.627950072288513,-0.482181191444397,0.540883421897888,0.283945679664612,3,44.8251953125,-73.16279296875,3.3236305914,-10.329815164200001,4.5798624564,3.5820554322000002,-10.3082797608,4.8957150396,0.41844268665999995,-4.853935165256,0.254119938176,0.434630615414,-4.717101352392,0.178372648912,-0.49532,1.29572,1.19828,0.63104,0.80562,1.43666,3.4528430118,-10.3190474625,4.737788748,0.426536651037,-4.785518258824,0.216246293544,0.06786000000000003,1.05067,1.3174700000000001,12.23872,-2.82432,12.23872,1.00290648902048,21.9
65455,0,6665965,392,-1381,680,1220,-16638,792,-854,2234,2066,433,-1384,720,1228,-16243,559,1088,1389,2477,384,-48,464,19.06,1.00347396989884,24.74,1.00247717739946,4449.51171875,-7309.767578125,55.7000007629395,2,12,0.589999973773956,7.88274383544922,0,3,0,0,0,0,11.9469701743858,0,0,-5.75415177470872,5.02492746,-2.9611179675,9.9242317335,0.63900750875473,-0.463082373142242,0.557424187660217,0.257880598306656,3,44.8251953125,-73.16279296875,2.8139593776000003,-9.9134640318,4.881358104,3.1082765574,-9.9349994352,5.168496816,0.37262779395999995,-5.0817878982839995,0.241902633456,0.37507125490399995,-4.9611420141739995,0.170736833462,-0.49532,1.29572,1.19828,0.63104,0.80562,1.43666,2.9611179675,-9.924231733500001,5.024927460000001,0.3738495244319999,-5.021464956229,0.206319733459,0.06786000000000003,1.05067,1.3174700000000001,11.29728,-1.41216,13.65088,1.0029755736491501,21.9
65456,0,6665980,345,-1386,693,1155,-16949,676,-474,2170,1740,381,-1386,757,1153,-16636,411,1088,1389,2477,400,-64,368,19.07,1.00344436220084,24.75,1.00250678509746,4449.51171875,-7309.767578125,55.7000007629395,2,12,0.589999973773956,7.91085815429688,0,3,0,0,0,0,11.8551834874349,0,0,-5.76007371216493,5.204389155,-2.6057838114,9.9493563708,0.649383962154388,-0.442619144916534,0.573543190956116,0.231164306402206,3,44.8251953125,-73.16279296875,2.4765713910000002,-9.9493563708,4.9746781854,2.7349962318000003,-9.9493563708,5.4341001246000005,0.35277467379,-5.176777442482,0.206472449768,0.352163808554,-5.081177033047999,0.12553280599799999,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,2.6057838114000003,-9.9493563708,5.204389155,0.35246924117199996,-5.128977237765,0.166002627883,0.17806000000000002,1.0321099999999999,1.22293,11.768,-1.88288,10.82656,1.0029755736491501,21.91
65457,0,6665996,259,-1347,725,1215,-16946,519,-474,2170,1740,321,-1346,785,1209,-16629,271,1088,1389,2477,352,48,464,19.07,1.00338514680484,24.74,1.00249691586479,4449.51171875,-7309.767578125,55.7000007629395,2,12,0.589999973773956,7.88938903808594,0,3,0,0,0,0,11.7757142014636,0,0,-5.7525752236866,5.419743189,-2.081755662,9.6658068927,0.659010767936707,-0.421308636665344,0.588632225990295,0.204245090484619,3,44.8251953125,-73.16279296875,1.8592231602,-9.6693961266,5.204389155,2.3042881638,-9.6622176588,5.635097223,0.37110063087,-5.175861144628,0.15851952874199998,0.36926803516199996,-5.0790390047219995,0.082772239478,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,2.081755662,-9.665806892700001,5.419743189,0.37018433301599996,-5.127450074675,0.12064588410999999,0.17806000000000002,1.0321099999999999,1.22293,10.35584,1.41216,13.65088,1.002941031334815,21.905
65458,0,6666011,211,-1236,727,1357,-16572,376,-474,2170,1740,252,-1211,780,1401,-16148,118,1088,1389,2477,336,-80,400,19.06,1.00356279299284,24.74,1.00244756970146,4449.51171875,-7309.767578125,55.7000007629395,2,12,0.589999973773956,7.900634765625,0,3,0,0,0,0,11.6818344750648,0,0,-5.76078688578807,5.4089754873,-1.6618152957,8.7828553533,0.667841672897339,-0.399812579154968,0.602126598358154,0.177710354328156,3,44.8251953125,-73.16279296875,1.5146567058,-8.8725862008,5.2187460906,1.8089738856000002,-8.6931245058,5.599204884000001,0.414472062626,-5.061629345496,0.11484266436799999,0.42791109781799996,-4.932125915464,0.036041048924,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,1.6618152957,-8.7828553533,5.4089754873,0.421191580222,-4.99687763048,0.07544185664599999,0.17806000000000002,1.0321099999999999,1.22293,9.88512,-2.3536,11.768,1.00300518134715,21.9
65459,0,6666026,139,-1192,712,1595,-15873,212,-474,2170,1740,185,-1187,768,1592,-15429,-45,1088,1389,2477,320,-80,432,19.06,1.00341475450284,24.74,1.00242783123612,4449.51171875,-7309.767578125,55.7000007629395,2,12,0.589999973773956,7.90421295166016,0,3,0,0,0,0,11.6135616129801,0,0,-5.74116510575352,5.312066172,-1.1629117836,8.5387874481,0.675916075706482,-0.378584206104279,0.613753736019135,0.152045488357544,3,44.8251953125,-73.16279296875,0.9978070242,-8.5567336176,5.1110690736,1.3280165430000002,-8.5208412786,5.5130632704,0.48716502571,-4.848131945514,0.064751715016,0.486248727856,-4.712519863122,-0.01374446781,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,1.1629117836,-8.5387874481,5.312066172,0.48670687678299995,-4.7803259043179995,0.025503623602999997,0.17806000000000002,1.0321099999999999,1.22293,9.4144,-2.3536,12.70944,1.00292129286948,21.9
65460,0,6666042,94,-1217,676,1820,-14999,52,-474,2170,1740,126,-1203,724,1804,-14793,-156,1088,1389,2477,384,-16,464,19.05,1.00345423143351,24.73,1.00246730816679,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.900634765625,0,3,0,0,0,0,11.5372978525972,0,0,-5.7305058589037,5.02492746,-0.789631458,8.685946038,0.683306872844696,-0.35780942440033,0.623573303222656,0.127359718084335,3,44.82520345052083,-73.16279296875,0.6747759732,-8.7361953126,4.8526442328,0.9044869428000001,-8.6356967634,5.1972106872,0.55588736476,-4.5811838373819995,0.015882496136,0.551000442872,-4.518264718074,-0.047647488408,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,0.7896314580000001,-8.685946038,5.024927460000001,0.553443903816,-4.549724277728,-0.015882496136,0.17806000000000002,1.0321099999999999,1.22293,11.29728,-0.47072,13.65088,1.0029607698001501,21.89
65461,0,6666057,37,-1267,643,1976,-14355,-64,-474,2170,1740,94,-1260,702,2034,-13926,-309,1088,1389,2477,256,-16,448,19.06,1.00357266222551,24.74,1.0025857389588,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.90676879882813,0,3,0,0,0,0,11.4319850521952,0,0,-5.75144333911987,4.8275195955,-0.4701896409,9.0699940653,0.690086901187897,-0.337552487850189,0.631724178791046,0.103745050728321,3,44.82520345052083,-73.16279296875,0.26560330860000003,-9.0951187026,4.6157547954,0.6747759732,-9.044869428,5.0392843956,0.6035348531679999,-4.384485231389999,-0.019547687552,0.6212499450119999,-4.253454638268,-0.094378678962,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,0.47018964090000004,-9.069994065300001,4.8275195955,0.61239239909,-4.318969934828999,-0.056963183257,0.17806000000000002,1.0321099999999999,1.22293,7.53152,-0.47072,13.18016,1.003079200592155,21.9
65462,0,6666073,30,-1202,614,2102,-13443,-187,-474,2170,1740,54,-1183,662,2137,-13058,-443,1088,1389,2477,368,16,368,19.06,1.0034246237355,24.72,1.00255613126079,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.88887786865234,0,3,0,0,0,0,11.3538080208002,0,0,-5.7426869941014,4.5798624564,-0.3014956476,8.5603228515,0.696218430995941,-0.318063467741013,0.638332724571228,0.0815284103155136,3,44.82520345052083,-73.16279296875,0.215354034,-8.628518295600001,4.4075792292000004,0.3876372612,-8.4921274074,4.7521456836,0.6420193630359999,-4.105930683774,-0.057115899565999995,0.652709504666,-3.988339125844,-0.135306649774,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,0.3014956476,-8.5603228515,4.579862456400001,0.647364433851,-4.047134904809,-0.09621127467,0.17806000000000002,1.0321099999999999,1.22293,10.82656,0.47072,10.82656,1.002990377498145,21.89
65463,0,6666088,-2,-1120,606,2119,-12795,-302,-474,2170,1740,21,-1109,638,2159,-12420,-537,1088,1389,2477,416,80,480,19.06,1.00357266222551,24.73,1.00257586972613,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.90472412109375,0,3,0,0,0,0,11.255895319364,0,0,-5.75542177131428,4.4650069716,-0.0681954441,8.0004023631,0.701700210571289,-0.299061447381973,0.643840730190277,0.0604010820388794,3,44.82520345052083,-73.16279296875,-0.0143569356,-8.039883936,4.3501514868,0.1507478238,-7.9609207902,4.5798624564,0.6472117175419999,-3.90801034731,-0.092240650636,0.659429022262,-3.79347311556,-0.164017315866,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,0.0681954441,-8.000402363100001,4.465006971599999,0.6533203699019999,-3.850741731435,-0.128128983251,0.17806000000000002,1.0321099999999999,1.22293,12.23872,2.3536,14.1216,1.0030742659758198,21.895
65464,0,6666104,-39,-1172,604,2058,-11901,-447,-474,2170,1740,0,-1162,642,2092,-11543,-670,1088,1389,2477,288,48,416,19.04,1.00347396989884,24.73,1.00251665433013,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.900634765625,0,3,0,0,0,0,11.1823349909954,0,0,-5.74160675781756,4.4721854394,0.1399801221,8.3772719226,0.706491529941559,-0.280890166759491,0.648303925991058,0.0408963859081268,3,44.82520345052083,-73.16279296875,-0.2799602442,-8.4131642616,4.3357945512,0.0,-8.3413795836,4.6085763276,0.628580327844,-3.634953586818,-0.136528380246,0.6389650368559999,-3.5256087095739996,-0.20463985406,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,-0.1399801221,-8.3772719226,4.4721854394000005,0.63377268235,-3.5802811481959997,-0.17058411715299998,0.17806000000000002,1.0321099999999999,1.22293,8.47296,1.41216,12.23872,1.002995312114485,21.884999999999998
65465,0,6666119,-52,-1181,590,1921,-10990,-576,-474,2170,1740,3,-1162,619,1999,-10886,-772,1088,1389,2477,240,-16,304,19.05,1.00344436220084,24.74,1.0027041697508,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.900634765625,0,3,0,0,0,0,11.0902800991861,0,0,-5.74802238396625,4.3393837851,0.1758724611,8.4095750277,0.710614323616028,-0.263486862182617,0.651980519294739,0.0228766892105341,3,44.82520345052083,-73.16279296875,-0.3732803256,-8.4777704718,4.235296002,0.0215354034,-8.3413795836,4.4434715682000006,0.586736059178,-3.3567044718199996,-0.175929187968,0.610559803382,-3.3249394795479996,-0.235793981096,-0.27492,1.2586,1.0092,0.63104,0.80562,1.43666,-0.17587246110000002,-8.4095750277,4.339383785100001,0.5986479312799999,-3.3408219756839994,-0.20586158453199999,0.17806000000000002,1.0321099999999999,1.22293,7.0608,-0.47072,8.94368,1.0030742659758198,21.895
65466,0,6666135,-58,-1208,576,1804,-10362,-675,-474,2170,1740,-11,-1204,624,1843,-10063,-885,1253,1377,1823,336,-32,368,19.04,1.00359240069085,24.74,1.00269430051813,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.89654541015625,0,3,0,0,0,0,10.9827188692746,0,0,-5.77110787314253,4.30708068,0.2476571391,8.6572321668,0.714121162891388,-0.246824622154236,0.655033886432648,0.0062641985714435,3,44.82520345052083,-73.16279296875,-0.4163511324,-8.6715891024,4.1347974528,-0.07896314580000001,-8.6428752312,4.4793639072,0.551000442872,-3.164892787716,-0.20616701715,0.562912314974,-3.073568434934,-0.27030786693,-0.27492,1.2586,1.0092,0.72674,0.79866,1.05734,-0.2476571391,-8.6572321668,4.30708068,0.556956378923,-3.119230611325,-0.23823744203999997,0.22591000000000003,1.02863,1.03327,9.88512,-0.94144,10.82656,1.00314335060449,21.89
65467,0,6666150,-76,-1238,571,1568,-9635,-774,-474,2170,1740,-30,-1220,611,1621,-9336,-965,1253,1377,1823,288,32,320,19.06,1.00356279299284,24.73,1.00256600049346,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.90625762939453,0,3,0,0,0,0,10.8996875886324,0,0,-5.76728352567287,4.2424744698,0.3804587934,8.8223369262,0.716941952705383,-0.2309710085392,0.657698631286621,-0.0088989408686757,3,44.82520345052083,-73.16279296875,-0.5455635528,-8.886943136400001,4.0989051138,-0.215354034,-8.757730716000001,4.3860438258,0.478918345024,-2.94284327443,-0.23640484633199998,0.495106273778,-2.8515189216479997,-0.29474247637,-0.27492,1.2586,1.0092,0.72674,0.79866,1.05734,-0.3804587934,-8.822336926200002,4.242474469799999,0.487012309401,-2.897181098039,-0.265573661351,0.22591000000000003,1.02863,1.03327,8.47296,0.94144,9.4144,1.00306439674315,21.895
65468,0,6666165,-68,-1184,563,1381,-9063,-840,-474,2170,1740,-33,-1165,603,1418,-8768,-1018,1253,1377,1823,384,96,400,19.05,1.00349370836417,24.74,1.00269430051813,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.8924560546875,0,3,0,0,0,0,10.8115905545071,0,0,-5.76900110631285,4.1850467274,0.3625126239,8.4311104311,0.719177067279816,-0.21577425301075,0.660075843334198,-0.0229292064905167,3,44.82520345052083,-73.16279296875,-0.48813581040000004,-8.499305875200001,4.0414773714,-0.2368894374,-8.362914987,4.3286160834,0.421802445458,-2.768135816934,-0.25656339912,0.433103452324,-2.6780331946239997,-0.310930405124,-0.27492,1.2586,1.0092,0.72674,0.79866,1.05734,-0.36251262390000005,-8.4311104311,4.1850467274,0.427452948891,-2.723084505779,-0.283746902122,0.22591000000000003,1.02863,1.03327,11.29728,2.82432,11.768,1.00309400444115,21.895
65469,0,6666181,-76,-1135,558,1100,-8372,-920,-444,2180,1195,-31,-1126,591,1134,-8123,-1083,1253,1377,1823,272,48,320,19.04,1.00359240069085,24.73,1.00268443128547,4449.51220703125,-7309.767578125,53.7000007629395,2,12,0.589999973773956,7.89859008789063,0,3,0,0,0,0,10.7145453814057,0,0,-5.78037045675098,4.1240297511,0.3840480273,8.1152578479,0.720763504505158,-0.201394990086555,0.662323653697968,-0.0356006287038326,3,44.82520345052083,-73.16279296875,-0.5455635528,-8.147560953000001,4.0055850324,-0.2225325018,-8.0829547428,4.2424744698,0.3359758798,-2.557081877896,-0.28099800855999996,0.346360588812,-2.481029156014,-0.33078352529399996,-0.25752,1.2644,0.6931,0.72674,0.79866,1.05734,-0.3840480273,-8.1152578479,4.1240297511,0.34116823430599996,-2.519055516955,-0.30589076692699996,0.23461,1.03153,0.87522,8.00224,1.41216,9.4144,1.00313841598816,21.884999999999998
