RUN START 2022-04-23 16:25:37

16:39:16: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.000128300024673, 'gs_temp': 22.7}
16:39:18: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0001973846533432, 'gs_temp': 22.74}
16:39:20: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0002072538860103, 'gs_temp': 22.78}
16:39:22: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0004046385393535, 'gs_temp': 22.8}
16:39:24: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0008783617073773, 'gs_temp': 22.82}
16:39:26: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.000927707870713, 'gs_temp': 22.83}
16:39:28: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0004638539353565, 'gs_temp': 22.83}
16:39:30: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0002171231186776, 'gs_temp': 22.84}
16:39:32: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0000986923266717, 'gs_temp': 22.88}
16:39:34: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0001085615593388, 'gs_temp': 22.9}
16:39:36: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0000197384653344, 'gs_temp': 22.92}
16:39:38: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0002664692820133, 'gs_temp': 22.95}
16:39:40: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0005230693313596, 'gs_temp': 22.96}
16:39:42: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0006316308906982, 'gs_temp': 22.94}
16:39:44: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0003947693066864, 'gs_temp': 22.94}
16:39:46: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.000246730816679, 'gs_temp': 22.94}
