PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 3810
Apogee: 5608' AGL
Ground Elevation: 288' MSL
NumSamps: 2328
Flight Number: 5
Main Setting: 500' AGL
Apogee Delay: 2 Seconds
Drogue At: 20.80 Seconds
Main At: 85.50 Seconds
Max Drogue Current: 0 Amps
Max Main Current: 0 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
16.80, 5527, 70, 45.77, 8.20
16.85, 5533, 70, 45.75, 8.20
16.90, 5535, 69, 45.75, 8.20
16.95, 5539, 67, 45.75, 8.20
17.00, 5543, 64, 45.75, 8.20
17.05, 5546, 62, 45.77, 8.20
17.10, 5547, 59, 45.77, 8.20
17.15, 5551, 57, 45.75, 8.20
17.20, 5553, 57, 45.77, 8.20
17.25, 5557, 56, 45.77, 8.20
17.30, 5560, 56, 45.75, 8.20
17.35, 5561, 56, 45.77, 8.20
17.40, 5565, 55, 45.75, 8.20
17.45, 5569, 53, 45.75, 8.20
17.50, 5569, 52, 45.75, 8.20
17.55, 5572, 50, 45.75, 8.20
17.60, 5577, 47, 45.73, 8.20
17.65, 5578, 45, 45.77, 8.20
17.70, 5578, 43, 45.75, 8.20
17.75, 5582, 40, 45.75, 8.20
17.80, 5584, 39, 45.75, 8.20
17.85, 5585, 37, 45.77, 8.20
17.90, 5587, 36, 45.75, 8.20
17.95, 5589, 34, 45.75, 8.20
18.00, 5591, 33, 45.75, 8.20
18.05, 5591, 32, 45.77, 8.20
18.10, 5594, 31, 45.75, 8.20
18.15, 5595, 30, 45.77, 8.20
18.20, 5597, 29, 45.75, 8.20
18.25, 5598, 27, 45.75, 8.20
18.30, 5599, 25, 45.75, 8.20
18.35, 5600, 23, 45.75, 8.20
18.40, 5602, 22, 45.75, 8.20
18.45, 5602, 20, 45.77, 8.20
18.50, 5604, 18, 45.77, 8.20
18.55, 5604, 16, 45.75, 8.20
18.60, 5605, 14, 45.75, 8.20
18.65, 5605, 12, 45.77, 8.20
18.70, 5606, 10, 45.73, 8.20
18.75, 5607, 9, 45.73, 8.20
18.80, 5606, 9, 45.75, 8.20
18.85, 5607, 8, 45.73, 8.20
18.90, 5608, 9, 45.73, 8.20
18.95, 5606, 10, 45.77, 8.20
19.00, 5610, 9, 45.73, 8.20
19.05, 5610, 7, 45.75, 8.20
19.10, 5608, 5, 45.75, 8.20
19.15, 5610, 0, 45.73, 8.20
19.20, 5610, -4, 45.73, 8.20
19.25, 5609, -6, 45.75, 8.20
19.30, 5607, -7, 45.75, 8.20
19.35, 5607, -6, 45.75, 8.20
19.40, 5608, -5, 45.73, 8.20
19.45, 5607, -3, 45.75, 8.20
19.50, 5607, -3, 45.77, 8.20
19.55, 5608, -5, 45.75, 8.20
19.60, 5608, -10, 45.77, 8.20
19.65, 5607, -15, 45.73, 8.20
19.70, 5605, -11, 45.75, 8.20
19.75, 5603, -3, 45.73, 8.20
19.80, 5602, 9, 45.73, 8.20
19.85, 5602, 24, 45.75, 8.20
19.90, 5599, 22, 45.75, 8.20
19.95, 5638, 10, 45.73, 8.20
20.00, 5603, -6, 45.73, 8.20
20.05, 5604, -25, 45.73, 8.20
20.10, 5603, -39, 45.73, 8.20
20.15, 5602, -34, 45.73, 8.20
20.20, 5602, -29, 45.73, 8.20
20.25, 5599, -23, 45.73, 8.20
20.30, 5599, -15, 45.73, 8.20
20.35, 5602, -15, 45.70, 8.20
20.40, 5600, -13, 45.73, 8.20
20.45, 5595, -9, 45.73, 8.20
20.50, 5592, -3, 45.73, 8.20
20.55, 5598, 3, 45.73, 8.20
20.60, 5605, 2, 45.70, 8.20
20.65, 5600, -2, 45.73, 8.20
20.70, 5592, -11, 45.70, 8.20
20.75, 5598, -27, 45.70, 8.20
20.80, 5606, -39, 45.70, 8.20
20.85, 5587, -57, 45.70, 8.20
20.90, 5585, -73, 45.70, 8.20
20.95, 5587, -82, 45.70, 8.20
21.00, 5585, -86, 45.70, 8.20
21.05, 5584, -70, 45.70, 8.20
21.10, 5578, -55, 45.70, 8.20
21.15, 5574, -42, 45.68, 8.20
21.20, 5597, -34, 45.68, 8.20
21.25, 5599, -37, 45.66, 8.20
21.30, 5566, -39, 45.66, 8.20
21.35, 5580, -41, 45.66, 8.20
21.40, 5541, -42, 45.66, 8.20
21.45, 5526, -43, 45.66, 8.20
21.50, 5509, -45, 45.63, 8.20
21.55, 5509, -48, 45.63, 8.20
21.60, 5534, -51, 45.63, 8.20
21.65, 5555, -53, 45.64, 8.20
21.70, 5530, -53, 45.63, 8.20
21.75, 5536, -51, 45.61, 8.20
21.80, 5544, -45, 45.61, 8.20
21.85, 5534, -38, 45.61, 8.20
21.90, 5535, -33, 45.61, 8.20
21.95, 5557, -31, 45.61, 8.20
22.00, 5555, -33, 45.61, 8.20
22.05, 5559, -40, 45.61, 8.20
22.10, 5543, -45, 45.61, 8.20
22.15, 5535, -49, 45.61, 8.20
22.20, 5518, -53, 45.61, 8.20
22.25, 5524, -52, 45.61, 8.20
22.30, 5521, -50, 45.59, 8.20
22.35, 5518, -46, 45.61, 8.20
22.40, 5516, -39, 45.61, 8.20
22.45, 5508, -33, 45.61, 8.20
22.50, 5503, -30, 45.59, 8.20
22.55, 5501, -31, 45.61, 8.20
22.60, 5498, -37, 45.61, 8.20
22.65, 5487, -45, 45.61, 8.20
22.70, 5482, -53, 45.61, 8.20
22.75, 5502, -62, 45.61, 8.20
22.80, 5520, -73, 45.61, 8.20
22.85, 5537, -85, 45.59, 8.20
22.90, 5542, -97, 45.57, 8.20
22.95, 5541, -107, 45.61, 8.20
23.00, 5492, -109, 45.61, 8.20
23.05, 5482, -105, 45.61, 8.20
