packetType,timestamp_s,timestamp_ms,lineCutterNumber,state,timestamp,pressure,altitude,deltaAltitude,temperature,accelNorm,battery,cutSense1,cutSense2,currentSense,photoresistor
1,397009,4027252997,62,0,101181,3231630893,0.08336924761533737,840.9034423828125,0.9960229992866516,3.913196563720703,3.1444476126573734e-37,469,1,160,672
1,397754,4079681797,62,0,101181,3231630893,0.08336924761533737,841.1400146484375,1.0000898838043213,3.9272727966308594,3.1591410678348977e-37,471,0,176,768
1,398603,4132110597,62,0,101183,3231980569,0.08336791396141052,840.3298950195312,0.9906466007232666,3.9272727966308594,3.1591415162504063e-37,471,1,160,720
1,399348,4181262597,62,0,101185,3232330240,-0.291793555021286,840.0574340820312,0.9959526658058167,3.9202346801757812,3.1591415162504063e-37,470,1,224,688
1,400089,4233691397,62,0,101184,3232155405,-0.12505337595939636,839.7061767578125,0.9926949739456177,3.9202346801757812,3.159141292042652e-37,471,1,176,672
1,400941,4282843397,62,0,101182,3231805732,-0.04168479144573212,839.6344604492188,0.9959225058555603,3.9343109130859375,3.1591415162504063e-37,469,0,128,704
1,401791,43581701,63,0,101183,3231980569,-0.2084256261587143,839.8280029296875,0.99772047996521,3.9202346801757812,3.159141292042652e-37,469,1,160,768
1,402536,96010501,63,0,101182,3231805732,0.041684459894895554,839.8065185546875,0.9963840246200562,3.913196563720703,3.1738349714279306e-37,470,0,176,656
1,403279,145162501,63,0,101178,3231106369,0.08337125182151794,839.8065185546875,0.9962283968925476,3.9202346801757812,3.173835195635685e-37,470,2,160,768
1,404233,197591301,63,0,101182,3231805732,-0.0833699181675911,839.2759399414062,0.9949005842208862,3.9272727966308594,3.1738349714279306e-37,471,1,192,688
1,405081,259850501,63,0,101182,3231805732,-0.0833699181675911,839.6416015625,0.991959810256958,3.9202346801757812,3.1591410678348977e-37,470,2,128,720
1,405824,312279301,63,0,101180,3231456053,0.0833699181675911,839.3046264648438,0.9972443580627441,3.9202346801757812,3.1738347472201763e-37,470,1,160,656
1,406671,361431301,63,0,101185,3232330240,-0.2501077651977539,839.677490234375,0.9961044192314148,3.9272727966308594,3.1738349714279306e-37,470,1,176,736
1,407518,420413701,63,0,101179,3231281212,0.12505537271499634,839.3906860351562,0.9932928681373596,3.9272727966308594,3.144447388449619e-37,469,2,144,720
1,408368,472842501,63,0,101180,3231456053,0.20842228829860687,840.3729248046875,0.9972235560417175,3.913196563720703,3.1738347472201763e-37,470,1,224,768
1,409112,525271301,63,0,101182,3231805732,-0.3751751482486725,840.3800659179688,0.9950335621833801,3.9202346801757812,3.1591415162504063e-37,469,0,192,720
1,409856,574423301,63,0,101183,3231980569,-0.1667398363351822,840.6740112304688,0.9958823919296265,3.9202346801757812,3.1444476126573734e-37,470,1,160,688
1,410599,626852101,63,0,101182,3231805732,-0.16674117743968964,840.7457275390625,0.9943461418151855,3.9272727966308594,3.159141292042652e-37,472,1,160,624
1,411450,676004101,63,0,101183,3231980569,0.08336791396141052,840.5234985351562,0.996584415435791,3.9202346801757812,3.1444476126573734e-37,472,1,240,656
1,412195,728432901,63,0,101186,3232505073,-0.1250513792037964,840.3729248046875,0.9972651600837708,3.9202346801757812,3.159141292042652e-37,473,1,208,720
1,412937,780861701,63,0,101190,3233204391,-0.3334663212299347,840.5880126953125,0.9953136444091797,3.913196563720703,3.1297537090643405e-37,471,1,176,752
1,413786,830013701,63,0,101187,3232679905,-0.08336658030748367,840.9679565429688,0.996921718120575,3.9272727966308594,3.1591415162504063e-37,470,1,192,704
1,414532,882442501,63,0,101181,3231630893,0.1667371690273285,841.0468139648438,0.9958764910697937,3.913196563720703,3.1591410678348977e-37,473,0,192,704
1,415275,931594501,63,0,101185,3232330240,0.0,841.1328735351562,0.994971513748169,3.9202346801757812,3.1591410678348977e-37,470,1,224,720
1,416126,984023301,63,0,101183,3231980569,0.08336791396141052,841.1973876953125,0.9988647103309631,3.9272727966308594,3.1444476126573734e-37,470,1,256,672
1,416869,1036452101,63,0,101182,3231805732,0.08336858451366425,841.2977294921875,0.994964063167572,3.9202346801757812,3.1591410678348977e-37,470,1,224,768
1,417718,1088880901,63,0,101183,3231980569,0.04168412461876869,841.1400146484375,0.9949799180030823,3.9272727966308594,3.1591410678348977e-37,469,1,192,656
1,418564,1141309701,63,0,101185,3232330240,0.08336658030748367,840.8389282226562,0.9989824891090393,3.9343109130859375,3.1738349714279306e-37,471,0,128,624
