timestampMs	pressurePa	tempK	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	imuTemp	battV	altitudeM	velocityMS	accelerationMSS	unfiltAlt	flightState	drogueCont	drogueFired	mainCont	mainFired
380115	100670.500000	304.17	-9.825803	0.517147	0.383072	-0.011706	0.001064	0.018091	302.61	4.03	1.38	0.08	0.00	57.661922	0	0	0	0	0
385115	100651.031250	304.17	-9.801861	0.474051	0.411802	-0.009578	0.005321	0.007449	302.69	4.03	1.43	0.11	0.00	59.381778	0	0	0	0	0
390115	100651.031250	304.17	-9.787496	0.435744	0.325611	0.000000	0.004256	0.009578	302.63	4.02	1.29	0.26	0.00	59.381778	0	0	0	0	0
395115	100654.578125	304.19	-9.806650	0.565031	0.402225	-0.011706	0.006385	0.011706	302.61	4.02	1.32	-0.40	0.00	59.068431	0	0	0	0	0
400115	100651.031250	304.17	-9.811438	0.402225	0.359130	-0.008513	0.006385	0.010642	302.64	4.03	1.85	0.09	0.00	59.381778	0	0	0	0	0
405115	100654.578125	304.19	-9.811438	0.550666	0.416591	-0.013834	0.003192	0.009578	302.63	4.02	0.45	0.74	0.00	59.069572	0	0	0	0	0
410115	100651.031250	304.17	-9.816226	0.421379	0.435744	-0.010642	0.004256	0.010642	302.64	4.02	-0.20	0.04	0.00	59.382926	0	0	0	0	0
415115	100670.500000	304.17	-9.821015	0.363918	0.320823	-0.005321	0.008513	0.021284	302.66	4.03	-0.87	-0.13	0.00	57.663040	0	0	0	0	0
420115	100674.046875	304.19	-9.806650	0.454898	0.416591	-0.007449	0.008513	0.007449	302.60	4.02	-0.30	0.44	0.00	57.349735	0	0	0	0	0
425115	100674.046875	304.19	-9.811438	0.459686	0.440533	-0.006385	0.004256	0.009578	302.66	4.03	-0.43	0.19	0.00	57.349735	0	0	0	0	0
430115	100670.500000	304.17	-9.806650	0.588973	0.407014	-0.012770	0.004256	0.024477	302.63	4.02	-1.10	-0.26	0.00	57.663040	0	0	0	0	0
435115	100651.031250	304.17	-9.821015	0.469263	0.335188	0.006385	0.005321	0.008513	302.60	4.02	-0.75	0.38	0.00	59.382926	0	0	0	0	0
440115	100670.500000	304.17	-9.811438	0.320823	0.426167	-0.017027	0.006385	0.010642	302.66	4.02	-1.10	-0.30	0.00	57.663040	0	0	0	0	0
